year,batter,runs_scored,balls_faced,boundaries,dot_balls,wickets,sixes,fours,strike_rate,boundary_percentage,dot_ball_percentage,six_percentage,four_percentage,average
2007,DJ Hussey,319,267,36,95,11,17,19,119.47565543071161,13.48314606741573,35.580524344569284,6.367041198501873,7.116104868913857,29.0
2007,DJ Thornely,39,54,4,26,3,2,2,72.22222222222221,7.4074074074074066,48.148148148148145,3.7037037037037033,3.7037037037037033,13.0
2007,DNT Zoysa,11,9,1,1,1,0,1,122.22222222222223,11.11111111111111,11.11111111111111,0.0,11.11111111111111,11.0
2007,DP Vijaykumar,1,1,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,
2007,DPMD Jayawardene,179,138,22,42,9,7,15,129.71014492753622,15.942028985507244,30.434782608695656,5.072463768115942,10.869565217391305,19.88888888888889
2007,DR Smith,45,41,6,16,2,1,5,109.75609756097562,14.634146341463413,39.02439024390244,2.4390243902439024,12.195121951219512,22.5
2007,DS Kulkarni,2,17,0,14,0,0,0,11.76470588235294,0.0,82.35294117647058,0.0,0.0,
2007,DS Lehmann,18,19,3,8,2,0,3,94.73684210526315,15.789473684210526,42.10526315789473,0.0,15.789473684210526,9.0
2007,DT Patil,13,13,1,5,1,0,1,100.0,7.6923076923076925,38.46153846153847,0.0,7.6923076923076925,13.0
2007,DW Steyn,2,5,0,3,2,0,0,40.0,0.0,60.0,0.0,0.0,1.0
2007,G Gambhir,534,394,76,112,14,8,68,135.53299492385787,19.289340101522843,28.426395939086298,2.030456852791878,17.258883248730964,38.142857142857146
2007,GC Smith,441,375,62,137,12,8,54,117.6,16.53333333333333,36.53333333333333,2.1333333333333333,14.399999999999999,36.75
2007,GD McGrath,4,5,1,4,1,0,1,80.0,20.0,80.0,0.0,20.0,4.0
2007,H Das,2,5,0,3,1,0,0,40.0,0.0,60.0,0.0,0.0,2.0
2007,HH Gibbs,167,159,25,80,9,8,17,105.0314465408805,15.723270440251572,50.314465408805034,5.031446540880504,10.69182389937107,18.555555555555557
2007,Harbhajan Singh,30,17,4,6,2,3,1,176.47058823529412,23.52941176470588,35.294117647058826,17.647058823529413,5.88235294117647,15.0
2007,I Sharma,11,11,1,4,1,0,1,100.0,9.090909090909092,36.36363636363637,0.0,9.090909090909092,11.0
2007,IK Pathan,131,120,15,46,5,6,9,109.16666666666666,12.5,38.333333333333336,5.0,7.5,26.2
